Country,State,State LGD code,Year,Normal tax payers_avg,Normal tax payers_max,Normal tax payers_min,Normal tax payers_sum,Normal tax payers_count,Normal tax payers_stddev,Normal tax payers_LandAreaWeight,Normal tax payers_TotalPopulationWeight,Normal tax payers_NumberOfHouseholdsWeight,Normal tax payers_TotalPopulationMaleWeight,Normal tax payers_TotalPopulationFemaleWeight,Composition tax payers_avg,Composition tax payers_max,Composition tax payers_min,Composition tax payers_sum,Composition tax payers_count,Composition tax payers_stddev,Composition tax payers_LandAreaWeight,Composition tax payers_TotalPopulationWeight,Composition tax payers_NumberOfHouseholdsWeight,Composition tax payers_TotalPopulationMaleWeight,Composition tax payers_TotalPopulationFemaleWeight,Input service distributor_avg,Input service distributor_max,Input service distributor_min,Input service distributor_sum,Input service distributor_count,Input service distributor_stddev,Input service distributor_LandAreaWeight,Input service distributor_TotalPopulationWeight,Input service distributor_NumberOfHouseholdsWeight,Input service distributor_TotalPopulationMaleWeight,Input service distributor_TotalPopulationFemaleWeight,Casual tax payers_avg,Casual tax payers_max,Casual tax payers_min,Casual tax payers_sum,Casual tax payers_count,Casual tax payers_stddev,Casual tax payers_LandAreaWeight,Casual tax payers_TotalPopulationWeight,Casual tax payers_NumberOfHouseholdsWeight,Casual tax payers_TotalPopulationMaleWeight,Casual tax payers_TotalPopulationFemaleWeight,Tax collected at source_avg,Tax collected at source_max,Tax collected at source_min,Tax collected at source_sum,Tax collected at source_count,Tax collected at source_stddev,Tax collected at source_LandAreaWeight,Tax collected at source_TotalPopulationWeight,Tax collected at source_NumberOfHouseholdsWeight,Tax collected at source_TotalPopulationMaleWeight,Tax collected at source_TotalPopulationFemaleWeight,Tax deducted at source_avg,Tax deducted at source_max,Tax deducted at source_min,Tax deducted at source_sum,Tax deducted at source_count,Tax deducted at source_stddev,Tax deducted at source_LandAreaWeight,Tax deducted at source_TotalPopulationWeight,Tax deducted at source_NumberOfHouseholdsWeight,Tax deducted at source_TotalPopulationMaleWeight,Tax deducted at source_TotalPopulationFemaleWeight,Non resident taxpayers_avg,Non resident taxpayers_max,Non resident taxpayers_min,Non resident taxpayers_sum,Non resident taxpayers_count,Non resident taxpayers_stddev,Non resident taxpayers_LandAreaWeight,Non resident taxpayers_TotalPopulationWeight,Non resident taxpayers_NumberOfHouseholdsWeight,Non resident taxpayers_TotalPopulationMaleWeight,Non resident taxpayers_TotalPopulationFemaleWeight,Online information and database access or retrieval services from a place outside india to a non-taxable online recipient_avg,Online information and database access or retrieval services from a place outside india to a non-taxable online recipient_max,Online information and database access or retrieval services from a place outside india to a non-taxable online recipient_min,Online information and database access or retrieval services from a place outside india to a non-taxable online recipient_sum,Online information and database access or retrieval services from a place outside india to a non-taxable online recipient_count,Online information and database access or retrieval services from a place outside india to a non-taxable online recipient_stddev,Online information and database access or retrieval services from a place outside india to a non-taxable online recipient_LandAreaWeight,Online information and database access or retrieval services from a place outside india to a non-taxable online recipient_TotalPopulationWeight,Online information and database access or retrieval services from a place outside india to a non-taxable online recipient_NumberOfHouseholdsWeight,Online information and database access or retrieval services from a place outside india to a non-taxable online recipient_TotalPopulationMaleWeight,Online information and database access or retrieval services from a place outside india to a non-taxable online recipient_TotalPopulationFemaleWeight,Unique identification number (uin) holders_avg,Unique identification number (uin) holders_max,Unique identification number (uin) holders_min,Unique identification number (uin) holders_sum,Unique identification number (uin) holders_count,Unique identification number (uin) holders_stddev,Unique identification number (uin) holders_LandAreaWeight,Unique identification number (uin) holders_TotalPopulationWeight,Unique identification number (uin) holders_NumberOfHouseholdsWeight,Unique identification number (uin) holders_TotalPopulationMaleWeight,Unique identification number (uin) holders_TotalPopulationFemaleWeight
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2022",110462.0,110462.0,110462.0,110462.0,1,,110462.0,110462.0,110462.0,110462.0,110462.0,8499.0,8499.0,8499.0,8499.0,1,,8499.0,8499.0,8499.0,8499.0,8499.0,10.0,10.0,10.0,10.0,1,,10.0,10.0,10.0,10.0,10.0,5.0,5.0,5.0,5.0,1,,5.0,5.0,5.0,5.0,5.0,151.0,151.0,151.0,151.0,1,,151.0,151.0,151.0,151.0,151.0,2593.0,2593.0,2593.0,2593.0,1,,2593.0,2593.0,2593.0,2593.0,2593.0,0.0,0.0,0.0,0.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,1,,10.0,10.0,10.0,10.0,10.0
India,Himachal Pradesh,2,"Financial Year (Apr - Mar), 2022",99587.0,99587.0,99587.0,99587.0,1,,99587.0,99587.0,99587.0,99587.0,99587.0,17679.0,17679.0,17679.0,17679.0,1,,17679.0,17679.0,17679.0,17679.0,17679.0,33.0,33.0,33.0,33.0,1,,33.0,33.0,33.0,33.0,33.0,9.0,9.0,9.0,9.0,1,,9.0,9.0,9.0,9.0,9.0,207.0,207.0,207.0,207.0,1,,207.0,207.0,207.0,207.0,207.0,1614.0,1614.0,1614.0,1614.0,1,,1614.0,1614.0,1614.0,1614.0,1614.0,0.0,0.0,0.0,0.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,1,,25.0,25.0,25.0,25.0,25.0
India,Punjab,3,"Financial Year (Apr - Mar), 2022",344609.0,344609.0,344609.0,344609.0,1,,344609.0,344609.0,344609.0,344609.0,344609.0,36606.0,36606.0,36606.0,36606.0,1,,36606.0,36606.0,36606.0,36606.0,36606.0,83.0,83.0,83.0,83.0,1,,83.0,83.0,83.0,83.0,83.0,27.0,27.0,27.0,27.0,1,,27.0,27.0,27.0,27.0,27.0,446.0,446.0,446.0,446.0,1,,446.0,446.0,446.0,446.0,446.0,3369.0,3369.0,3369.0,3369.0,1,,3369.0,3369.0,3369.0,3369.0,3369.0,1.0,1.0,1.0,1.0,1,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,15.0,1,,15.0,15.0,15.0,15.0,15.0
India,Chandigarh,4,"Financial Year (Apr - Mar), 2022",27759.0,27759.0,27759.0,27759.0,1,,27759.0,27759.0,27759.0,27759.0,27759.0,1609.0,1609.0,1609.0,1609.0,1,,1609.0,1609.0,1609.0,1609.0,1609.0,84.0,84.0,84.0,84.0,1,,84.0,84.0,84.0,84.0,84.0,9.0,9.0,9.0,9.0,1,,9.0,9.0,9.0,9.0,9.0,214.0,214.0,214.0,214.0,1,,214.0,214.0,214.0,214.0,214.0,760.0,760.0,760.0,760.0,1,,760.0,760.0,760.0,760.0,760.0,0.0,0.0,0.0,0.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,1,,3.0,3.0,3.0,3.0,3.0
India,Uttarakhand,5,"Financial Year (Apr - Mar), 2022",157239.0,157239.0,157239.0,157239.0,1,,157239.0,157239.0,157239.0,157239.0,157239.0,34265.0,34265.0,34265.0,34265.0,1,,34265.0,34265.0,34265.0,34265.0,34265.0,47.0,47.0,47.0,47.0,1,,47.0,47.0,47.0,47.0,47.0,6.0,6.0,6.0,6.0,1,,6.0,6.0,6.0,6.0,6.0,352.0,352.0,352.0,352.0,1,,352.0,352.0,352.0,352.0,352.0,3480.0,3480.0,3480.0,3480.0,1,,3480.0,3480.0,3480.0,3480.0,3480.0,0.0,0.0,0.0,0.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,0.0,0.0,0.0,0.0,0.0,11.0,11.0,11.0,11.0,1,,11.0,11.0,11.0,11.0,11.0
India,Haryana,6,"Financial Year (Apr - Mar), 2022",482254.0,482254.0,482254.0,482254.0,1,,482254.0,482254.0,482254.0,482254.0,482254.0,15470.0,15470.0,15470.0,15470.0,1,,15470.0,15470.0,15470.0,15470.0,15470.0,608.0,608.0,608.0,608.0,1,,608.0,608.0,608.0,608.0,608.0,20.0,20.0,20.0,20.0,1,,20.0,20.0,20.0,20.0,20.0,941.0,941.0,941.0,941.0,1,,941.0,941.0,941.0,941.0,941.0,2547.0,2547.0,2547.0,2547.0,1,,2547.0,2547.0,2547.0,2547.0,2547.0,4.0,4.0,4.0,4.0,1,,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,1,,0.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,31.0,1,,31.0,31.0,31.0,31.0,31.0
India,Delhi,7,"Financial Year (Apr - Mar), 2022",758918.0,758918.0,758918.0,758918.0,1,,758918.0,758918.0,758918.0,758918.0,758918.0,16325.0,16325.0,16325.0,16325.0,1,,16325.0,16325.0,16325.0,16325.0,16325.0,1045.0,1045.0,1045.0,1045.0,1,,1045.0,1045.0,1045.0,1045.0,1045.0,83.0,83.0,83.0,83.0,1,,83.0,83.0,83.0,83.0,83.0,1381.0,1381.0,1381.0,1381.0,1,,1381.0,1381.0,1381.0,1381.0,1381.0,2842.0,2842.0,2842.0,2842.0,1,,2842.0,2842.0,2842.0,2842.0,2842.0,4.0,4.0,4.0,4.0,1,,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,1,,0.0,0.0,0.0,0.0,0.0,316.0,316.0,316.0,316.0,1,,316.0,316.0,316.0,316.0,316.0
India,Rajasthan,8,"Financial Year (Apr - Mar), 2022",672438.0,672438.0,672438.0,672438.0,1,,672438.0,672438.0,672438.0,672438.0,672438.0,134913.0,134913.0,134913.0,134913.0,1,,134913.0,134913.0,134913.0,134913.0,134913.0,115.0,115.0,115.0,115.0,1,,115.0,115.0,115.0,115.0,115.0,8.0,8.0,8.0,8.0,1,,8.0,8.0,8.0,8.0,8.0,686.0,686.0,686.0,686.0,1,,686.0,686.0,686.0,686.0,686.0,19619.0,19619.0,19619.0,19619.0,1,,19619.0,19619.0,19619.0,19619.0,19619.0,1.0,1.0,1.0,1.0,1,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,,0.0,0.0,0.0,0.0,0.0,86.0,86.0,86.0,86.0,1,,86.0,86.0,86.0,86.0,86.0
India,Uttar Pradesh,9,"Financial Year (Apr - Mar), 2022",1377315.0,1377315.0,1377315.0,1377315.0,1,,1377315.0,1377315.0,1377315.0,1377315.0,1377315.0,338879.0,338879.0,338879.0,338879.0,1,,338879.0,338879.0,338879.0,338879.0,338879.0,444.0,444.0,444.0,444.0,1,,444.0,444.0,444.0,444.0,444.0,26.0,26.0,26.0,26.0,1,,26.0,26.0,26.0,26.0,26.0,1300.0,1300.0,1300.0,1300.0,1,,1300.0,1300.0,1300.0,1300.0,1300.0,23645.0,23645.0,23645.0,23645.0,1,,23645.0,23645.0,23645.0,23645.0,23645.0,1.0,1.0,1.0,1.0,1,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,,0.0,0.0,0.0,0.0,0.0,234.0,234.0,234.0,234.0,1,,234.0,234.0,234.0,234.0,234.0
India,Bihar,10,"Financial Year (Apr - Mar), 2022",484279.0,484279.0,484279.0,484279.0,1,,484279.0,484279.0,484279.0,484279.0,484279.0,108500.0,108500.0,108500.0,108500.0,1,,108500.0,108500.0,108500.0,108500.0,108500.0,107.0,107.0,107.0,107.0,1,,107.0,107.0,107.0,107.0,107.0,8.0,8.0,8.0,8.0,1,,8.0,8.0,8.0,8.0,8.0,374.0,374.0,374.0,374.0,1,,374.0,374.0,374.0,374.0,374.0,7066.0,7066.0,7066.0,7066.0,1,,7066.0,7066.0,7066.0,7066.0,7066.0,0.0,0.0,0.0,0.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,0.0,0.0,0.0,0.0,0.0,129.0,129.0,129.0,129.0,1,,129.0,129.0,129.0,129.0,129.0
India,Sikkim,11,"Financial Year (Apr - Mar), 2022",9384.0,9384.0,9384.0,9384.0,1,,9384.0,9384.0,9384.0,9384.0,9384.0,792.0,792.0,792.0,792.0,1,,792.0,792.0,792.0,792.0,792.0,2.0,2.0,2.0,2.0,1,,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1,,0.0,0.0,0.0,0.0,0.0,91.0,91.0,91.0,91.0,1,,91.0,91.0,91.0,91.0,91.0,354.0,354.0,354.0,354.0,1,,354.0,354.0,354.0,354.0,354.0,0.0,0.0,0.0,0.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,1,,4.0,4.0,4.0,4.0,4.0
India,Arunachal Pradesh,12,"Financial Year (Apr - Mar), 2022",14641.0,14641.0,14641.0,14641.0,1,,14641.0,14641.0,14641.0,14641.0,14641.0,2258.0,2258.0,2258.0,2258.0,1,,2258.0,2258.0,2258.0,2258.0,2258.0,4.0,4.0,4.0,4.0,1,,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1,,1.0,1.0,1.0,1.0,1.0,84.0,84.0,84.0,84.0,1,,84.0,84.0,84.0,84.0,84.0,1360.0,1360.0,1360.0,1360.0,1,,1360.0,1360.0,1360.0,1360.0,1360.0,0.0,0.0,0.0,0.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,1,,5.0,5.0,5.0,5.0,5.0
India,Nagaland,13,"Financial Year (Apr - Mar), 2022",7740.0,7740.0,7740.0,7740.0,1,,7740.0,7740.0,7740.0,7740.0,7740.0,2065.0,2065.0,2065.0,2065.0,1,,2065.0,2065.0,2065.0,2065.0,2065.0,4.0,4.0,4.0,4.0,1,,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,1,,0.0,0.0,0.0,0.0,0.0,92.0,92.0,92.0,92.0,1,,92.0,92.0,92.0,92.0,92.0,312.0,312.0,312.0,312.0,1,,312.0,312.0,312.0,312.0,312.0,0.0,0.0,0.0,0.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,1,,7.0,7.0,7.0,7.0,7.0
